franchise,franchiseID,clientName,clientID,serviceLocation,streetNo,locationStreet,state,city,zip,contactName
Nashville,45,Centurion Stone,9439,"7201 Cockrill Bend Boulevard  NASHVILLE, TN 37209",7201,Cockrill Bend Boulevard,TN,NASHVILLE,37209.0,Accounts Payable - Penny Wade
Nashville,45,SPX,11720,"332 Nichol Mill Ln  FRANKLIN, TN 37067",332,Nichol Mill Ln,TN,FRANKLIN,37067.0,Freddy Camacho
Nashville,45,Roscoe Brown Inc,1185,"959 N Thompson Lane  MURFREESBORO, TN 37129",959,N Thompson Lane,TN,MURFREESBORO,37129.0,Roscoe Brown AP
Nashville,45,800 Packouts,1475,"7103 Cardinal Lane  FAIRVIEW, TN 37062",,,,,,Berrian Webb
Nashville,45,Olhausen Billiards,12797,"1124 Vaughn Parkway  PORTLAND, TN 37148",1124,Vaughn Parkway,TN,PORTLAND,37148.0,Accounting A/P processing
Nashville,45,Power Equipment,13718,"320 Waldron rd  LA VERGNE, TN 37086",320,Waldron rd,TN,LA VERGNE,37086.0,Accounts Payable
Nashville,45,Guardian Moving Systems,6974,"1421 Gould Boulevard  LA VERGNE, TN 37086",1421,Gould Boulevard,TN,LA VERGNE,37086.0,Accounts Payable
Nashville,45,Safelite AutoGlass Nashville,14566,"815 Cowan St  NASHVILLE, TN 37207",815,Cowan St,TN,NASHVILLE,37207.0,Tiffany Knight
Nashville,45,Gutterglove,13973,"431 Mason Rd  LA VERGNE, TN 37086",431,Mason Rd,TN,LA VERGNE,37086.0,Accounts Payable
Nashville,45,Home Lift,17303,"3901 Charlotte Pike  NASHVILLE, TN 37209",3901,Charlotte Pike,TN,NASHVILLE,37209.0,Richard Eller
Nashville,45,Allison Companies,17258,"760 Old Dickerson Pike  GOODLETTSVILLE, TN 37072",760,Old Dickerson Pike,TN,GOODLETTSVILLE,37072.0,Jonathan Allison
Nashville,45,Elmington Property Management,10085,"3940 Apache Trail  ANTIOCH, TN 37013",3940,Apache Trail,TN,ANTIOCH,37013.0,AP Invoices
Nashville,45,T.A. America Corporation,13837,"300 Tech Park Drive  LA VERGNE, TN 37086",300,Tech Park Drive,TN,LA VERGNE,37086.0,Dinah David
Nashville,45,Hunter Industrial,17700,"180 Threet Industrial Road  SMYRNA, TN 37167",180,Threet Industrial Road,TN,SMYRNA,37167.0,Ben Pugh
Nashville,45,BEACON ROOFING SUPPLY - NASHVILLE BRANCH/440,17654,"1707 River Hills Drive  NASHVILLE, TN 37210",1707,River Hills Drive,TN,NASHVILLE,37210.0,David Barham
Nashville,45,Demand Mechanical,15763,"149 Park South Ct  NASHVILLE, TN 37210",149,Park South Ct,TN,NASHVILLE,37210.0,AP Accounts Payable
Nashville,45,Ferguson,18003,"111 Century Court  FRANKLIN, TN 37064",111,Century Court,TN,FRANKLIN,37064.0,WDS Waste Invoicing
Nashville,45,Pilot Freight Services - BNA,17789,"1405 Heil Quaker Boulevard  LA VERGNE, TN 37086",1405,Heil Quaker Boulevard,TN,LA VERGNE,37086.0,Brian Dickson
Nashville,45,PrimeSource DC-60,17500,"498 Bridgestone pkwy  LEBANON, TN 37090",498,Bridgestone pkwy,TN,LEBANON,37090.0,AP-DCInvoices primesource
Nashville,45,Coleman,17314,"114 W. Trinity Lane  NASHVILLE, TN 37207",114,W. Trinity Lane,TN,NASHVILLE,37207.0,Accounts Payable
Nashville,45,BEACON ROOFING SUPPLY - NASHVILLE BRANCH/436,17888,"33 Fairfield Ave  NASHVILLE, TN 37210",33,Fairfield Ave,TN,NASHVILLE,37210.0,Dale Cook
Nashville,45,California Closets,12283,"2528 Eugenia Ave  NASHVILLE, TN 37211",2528,Eugenia Ave,TN,NASHVILLE,37211.0,Accounting
Nashville,45,Capitol Wholesale Fence,13800,"1200 Lebanon RD.  NASHVILLE, TN 37210",1200,Lebanon RD.,TN,NASHVILLE,37210.0,AP - Daniel murphy
Nashville,45,Cort Furniture,4846,"280 Industrial Boulevard  LA VERGNE, TN 37086",280,Industrial Boulevard,TN,LA VERGNE,37086.0,Invoices Accounts
Nashville,45,Chef's Deal Restaurant Equipment,10024,"708 Dickerson Pike  NASHVILLE, TN 37207",708,Dickerson Pike,TN,NASHVILLE,37207.0,William Bergener
Nashville,45,Jamison Steel Rule Die Inc,4430,"1532 Sarah Court  MURFREESBORO, TN 37129",1532,Sarah Court,TN,MURFREESBORO,37129.0,Gary Rapier
Nashville,45,Depor Industries,12968,"1022 Fred White Blvd  PORTLAND, TN 37148",1022,Fred White Blvd,TN,PORTLAND,37148.0,Invoices - Yilin Zhang
Nashville,45,Cook and Boardman,1093,"650 Southgate Avenue  NASHVILLE, TN 37203",650,Southgate Avenue,TN,NASHVILLE,37203.0,Accounts Payable
Nashville,45,Durante Home Exteriors,6575,"5100 Linbar Dr Suite 130  NASHVILLE, TN 37211",5100,Linbar Dr Suite 130,TN,NASHVILLE,37211.0,Accounts Payable
Nashville,45,Huskey Truss & Building Supply,2208,"200 Beasley Drive  FRANKLIN, TN 37064",200,Beasley Drive,TN,FRANKLIN,37064.0,Accounts Payable
Nashville,45,Sundek,12463,"301 space park north  GOODLETTSVILLE, TN 37072",301,space park north,TN,GOODLETTSVILLE,37072.0,Will Burley
Nashville,45,ABC Supply - Columbia,20151,"1516 Nashville Highway  COLUMBIA, TN 38401",1516,Nashville Highway,TN,COLUMBIA,38401.0,Karen McNamara
Nashville,45,Cooper General,20180,"5501 Centrepointe Drive  LA VERGNE, TN 37086",5501,Centrepointe Drive,TN,LA VERGNE,37086.0,Dannis Roque
Nashville,45,Old Dominion Freight Lines - NAS/63,20276,"1250 Bridgestone Parkway  LA VERGNE, TN 37086",1250,Bridgestone Parkway,TN,LA VERGNE,37086.0,Chris Hunt
Nashville,45,Dyke Industries,17807,"255 Maddox rd  MOUNT JULIET, TN 37122",255,Maddox rd,TN,MOUNT JULIET,37122.0,Prince Peters
Nashville,45,Southerland Sleep,20565,"6050 Dana Way  NASHVILLE, TN 37013",6050,Dana Way,TN,NASHVILLE,37013.0,Southerland Sleep AP
Nashville,45,United Rentals,24911,"1436 Heil Quaker Boulevard  LA VERGNE, TN 37086",1436,Heil Quaker Boulevard,TN,LA VERGNE,37086.0,Chad Hester
Nashville,45,Alabama Foundation Specialists,24880,"1519 Heil Quaker Boulevard  LA VERGNE, TN 37086",1519,Heil Quaker Boulevard,TN,LA VERGNE,37086.0,Nicole Cottle
Nashville,45,Metal Moulding Corporation,25234,"1225 Northgate Business Parkway  MADISON, TN 37115",1225,Northgate Business Parkway,TN,MADISON,37115.0,Carol Smallwood
Nashville,45,Cornerstone Mechanical,24340,"401 Maple Avenue  NASHVILLE, TN 37210",401,Maple Avenue,TN,NASHVILLE,37210.0,Becky Oakes
Nashville,45,Coleman Tractor - Clarksville,25559,"550 Alfred Thun Road  CLARKSVILLE, TN 37040",550,Alfred Thun Road,TN,CLARKSVILLE,37040.0,Josh Briggs
Nashville,45,BEACON ROOFING SUPPLY - CLARKSVILLE BRANCH/437,24675,"819 Power Street  CLARKSVILLE, TN 37042",819,Power Street,TN,CLARKSVILLE,37042.0,Laura Ussery
Nashville,45,Franke,21136,"800 Aviation Parkway  SMYRNA, TN 37167",800,Aviation Parkway,TN,SMYRNA,37167.0,Paula Pewitt
Nashville,45,Color Burst Landscaping,26909,"245 Wilson Pike Circle  BRENTWOOD, TN 37027",245,Wilson Pike Circle,TN,BRENTWOOD,37027.0,Katie Miller
Nashville,45,BH Electronics,27715,"4815 East Highway 70  WHITE BLUFF, TN 37187",4815,East Highway 70,TN,WHITE BLUFF,37187.0,Kristin Dietel
Nashville,45,DB Schenker,24961,"870 Steel Stock Road  CLARKSVILLE, TN 37043",870,Steel Stock Road,TN,CLARKSVILLE,37043.0,invoicing
Nashville,45,Day Transfer Moving & Storage,27942,"520 South Spring Street  CLARKSVILLE, TN 37040",520,South Spring Street,TN,CLARKSVILLE,37040.0,Jamie Trip
Nashville,45,Tenn Sheet Metal,28249,"40 fant industrial drive  MADISON, TN 37115",40,fant industrial drive,TN,MADISON,37115.0,Tina Wright
Nashville,45,PDI - Nashville,28765,"90 Oldham Street  NASHVILLE, TN 37213",90,Oldham Street,TN,NASHVILLE,37213.0,Rachel Hadley
Nashville,45,Exterior Wholesale Supply,28769,"360 Quecreek Circle  SMYRNA, TN 37167",360,Quecreek Circle,TN,SMYRNA,37167.0,Stephanie Rochelle
Nashville,45,Valeo,24964,"611 Enon Springs Road East  SMYRNA, TN 37167",611,Enon Springs Road East,TN,SMYRNA,37167.0,Steve Warehouse Manager
Nashville,45,ABC Supply - Clarksville,28110,"4386 Guthrie Hwy  CLARKSVILLE, TN 37040",4386,Guthrie Hwy,TN,CLARKSVILLE,37040.0,Annette Boyd
Nashville,45,ProScapes,30853,"1131 West Main St  FRANKLIN, TN 37065",1131,West Main St,TN,FRANKLIN,37065.0,Will Adrews
Nashville,45,Madison Swimming Pools LLC,30381,"1416 Dickson Road  Goodlettesville, TN 37072",1416,Dickson Road,TN,Goodlettesville,37072.0,Kenneth Gleaves
Nashville,45,Simply Gutters,30153,"1107 Baptist World Center Drive  NASHVILLE, TN 37207",1107,Baptist World Center Drive,TN,NASHVILLE,37207.0,Colby Armstrong
Nashville,45,RRW/Store Opening Solutions-54221,31588,"5509 Centrepointe Drive  LA VERGNE, TN 37086",5509,Centrepointe Drive,TN,LA VERGNE,37086.0,RRW/Store Opening Solutions
Nashville,45,Rubicon/Artisent Floors - Nashville,28561,"1320 Elm Hill Pike  NASHVILLE, TN 37210",1320,Elm Hill Pike,TN,NASHVILLE,37210.0,Artisent Floors AR
Nashville,45,Sole Supports,32807,"7674 Tennessee 7  LYLES, TN 37098",7674,Tennessee 7,TN,LYLES,37098.0,Ken Burks
